gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,White,Sergeant of Police,"","{Extended detention,Other charges filed}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Extended detention,90000.00
M,White,Police Officer as Detective,"",{Other charges filed},"{Excessive force,Threats/intimidation,False arrest or report}",{Physical force},False arrest,100000.00
F,White,Sergeant of Police,"",{Other charges filed},"{Excessive force,Threats/intimidation,False arrest or report}",{Physical force},False arrest,100000.00
M,White,Sergeant of Police,"",{Other charges filed},"{Excessive force,Threats/intimidation,False arrest or report}",{Physical force},False arrest,100000.00
M,White,Police Officer as Detective,"",{Other charges filed},"{Excessive force,Threats/intimidation,False arrest or report}",{Physical force},False arrest,100000.00
M,Black,Police Officer,{Lock-up},"{Hospitalized,Other charges filed}",{Excessive force},"{Taser,Pepper spray,Nightstick,Physical force}",Excessive force/serious,7500.00
M,White,Sergeant of Police,{Lock-up},"{Hospitalized,Other charges filed}",{Excessive force},"{Taser,Pepper spray,Nightstick,Physical force}",Excessive force/serious,7500.00
M,Hispanic,Sergeant of Police,{Lock-up},"{Hospitalized,Other charges filed}",{Excessive force},"{Taser,Pepper spray,Nightstick,Physical force}",Excessive force/serious,7500.00
F,Black,Police Officer,{Lock-up},"{Hospitalized,Other charges filed}",{Excessive force},"{Taser,Pepper spray,Nightstick,Physical force}",Excessive force/serious,7500.00
M,White,Police Officer,"","","{Threats/intimidation,Excessive force,False arrest or report}",{Physical force},False arrest,12500.00
M,Black,Police Officer,"","","{Threats/intimidation,Excessive force,False arrest or report}",{Physical force},False arrest,12500.00
M,Hispanic,Police Officer,{Home invasion},{Hospitalized},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/serious,5000.00
M,White,Police Officer,{Lock-up},"{Extended detention,Assault or battery to an officer charges,Hospitalized}","{Threats/intimidation,False arrest or report,Excessive force,Torture,Failure to provide medical care}",{Physical force},Excessive force/serious,100000.00
M,Asian/Pacific,Police Officer,"",{Other charges filed},"{Threats/intimidation,False arrest or report}",{Gun},False arrest,34000.00
